,1,sn,id,name,date,net,all-net,%,%7,%30,%90,%180,%360,%720,%3y,%y,%all,%u,fee,2,%sort
6,,7,167301,方正富邦保险,08-28,1.275,1.314,1.11,7.05,7.05,17.4,29.31,36.73,50.28,0,32.4,31.65,26.79,0.08,,33.9578
7,,8,000950,易方达沪深3,08-28,0.9267,0.9267,3.48,6.94,7.27,16.85,19.47,21.23,35.68,0,21.45,-7.33,12.88,0.1,,32.9674
3,,4,160516,博时中证80,08-28,1.2806,0.828,4.13,7.15,6.87,16.5,16.42,17.37,30.54,0,18.92,-17.2,8.99,0.1,,32.7856
4,,5,160625,鹏华证券保险,08-28,1.36,1.845,4.06,7.09,6.75,16.14,15.84,16.39,29.27,68.34,17.47,82.98,8.05,0.6,,32.3557
0,,1,160633,鹏华证券分级,08-28,1.016,0.646,5.5,7.4,6.72,13.39,5.28,2.93,-3.68,0,6.39,-35.46,-4.36,0.12,,31.751400000000004
1,,2,161629,融通证券分级,08-28,1.137,0.771,5.57,7.37,6.56,12.46,3.74,0.03,-1.1,0,4.6,-23.06,-6.99,0.12,,31.230400000000003
2,,3,160419,华安中证全指,08-28,1.1264,0.7029,5.52,7.27,6.61,12.35,4.3,0.7,10.17,0,5.22,-29.71,-6.33,0.12,,31.1333
5,,6,163113,申万菱信申万,08-28,1.134,1.8598,5.35,7.08,6.35,12.41,4.1,0.72,7.87,46.6,5.2,58.91,-6.16,0.12,,30.2531
29,,30,000755,富安达新兴成,08-28,1.3932,1.3932,3.5,4.74,7.11,34.34,30.87,9.42,8.33,0,34.19,39.32,2.96,0.15,,29.184100000000004
8,,9,165521,信诚中证80,08-28,1.069,1.726,1.42,5.63,3.69,13.72,13.84,16.99,30.28,72.24,17.47,81.37,10.4,0.12,,24.033800000000006
9,,10,161211,国投沪深30,08-28,1.5356,1.5356,1.7,5.39,4.05,13.3,14.76,19.16,34.77,87.2,19.09,53.56,12.09,0.12,,23.8325
49,,50,470028,汇添富社会责,08-28,1.757,1.757,2.39,3.84,7.0,20.59,13.21,0.23,17.84,68.78,13.87,75.7,-3.09,0.15,,23.465000000000003
20,,21,257040,国联安红利混,08-28,1.241,2.194,2.31,4.99,4.29,17.19,12.31,6.34,19.31,94.93,12.41,182.0,2.96,0.15,,23.081899999999997
18,,19,519027,海富通上证周,08-28,1.278,1.278,1.43,5.01,4.41,13.1,14.93,17.68,24.2,69.05,18.55,27.8,11.55,0.12,,23.009599999999995
33,,34,502020,国金上证50,08-28,1.431,0.9818,1.13,4.61,4.53,13.93,19.75,25.77,31.44,0,23.36,-15.18,19.31,0.1,,22.561400000000003
26,,27,519005,海富通股票混,08-28,0.687,2.636,1.63,4.89,3.46,20.32,18.24,10.63,-12.82,12.07,19.9,195.25,7.2,0.15,,22.300399999999996
32,,33,000591,中银健康生活,08-28,1.505,1.505,1.35,4.66,5.54,11.81,4.51,2.38,3.01,48.28,6.51,50.5,-2.44,0.15,,22.216500000000007
21,,22,001469,广发中证全指,08-28,1.0483,1.0483,1.6,4.99,3.68,13.09,14.92,19.14,30.09,0,19.34,4.83,12.37,0.12,,22.162100000000006
39,,40,519672,银河蓝筹混合,08-28,2.227,2.227,1.97,4.36,3.92,17.27,22.7,29.78,50.17,111.69,29.03,122.7,23.28,0.15,,22.029300000000003
22,,23,002979,广发中证全指,08-28,1.0475,1.0475,1.6,4.98,3.64,12.96,14.77,18.78,0.0,0,19.1,24.76,12.04,0.0,,21.7504
10,,11,160517,博时中证银行,08-28,1.0314,1.0778,0.17,5.31,2.38,13.09,14.55,20.44,33.71,0,21.08,7.78,14.16,0.1,,21.5711
11,,12,001594,天弘中证银行,08-28,1.1251,1.1251,0.17,5.31,2.19,13.51,13.39,16.99,30.2,0,18.28,12.51,10.89,0.1,,21.2598
12,,13,001595,天弘中证银行,08-28,1.1184,1.1184,0.16,5.3,2.17,13.44,13.27,16.69,29.49,0,18.09,11.84,10.61,0.0,,21.177899999999994
37,,38,001237,博时上证50,08-28,0.9399,0.9399,1.08,4.4,4.01,12.9,17.31,24.54,29.59,0,21.01,-6.01,18.38,0.12,,21.027100000000004
35,,36,000835,华润元大富时,08-28,1.602,1.602,0.88,4.43,3.69,13.3,18.75,26.44,31.74,0,23.9,60.2,20.31,0.12,,20.910599999999995
13,,14,160418,华安中证银行,08-28,0.9097,0.9536,0.14,5.25,2.18,12.46,12.53,16.72,26.93,0,17.62,-3.94,10.69,0.12,,20.8345
15,,16,161723,招商中证银行,08-25,1.041,1.079,3.07,5.15,2.06,12.66,12.66,19.65,52.53,0,19.24,8.6,13.68,0.1,,20.754300000000004
38,,39,519674,银河创新成长,08-28,2.6109,2.6109,1.86,4.39,3.26,16.84,19.34,20.85,27.52,91.64,23.01,161.09,15.98,0.15,,20.7154
14,,15,160631,鹏华银行分级,08-28,0.992,1.029,0.1,5.2,2.06,12.22,11.84,16.38,29.1,0,17.26,3.67,10.5,0.12,,20.4954
45,,46,161607,融通巨潮10,08-28,1.22,2.734,1.24,4.18,4.1,13.38,14.23,21.15,26.42,69.92,19.26,303.14,15.6,0.15,,20.3556
19,,20,161121,易方达银行分,08-28,0.9697,1.018,0.17,5.01,1.95,12.39,12.25,19.65,50.98,0,18.82,2.71,13.83,0.1,,20.144
31,,32,501301,华宝兴业香港,08-25,1.1031,1.1031,1.72,4.69,4.58,6.82,0.0,0.0,0.0,0,0.0,10.3,6.21,0.1,,20.0944
46,,47,399001,中海上证50,08-28,1.171,1.171,1.04,4.18,3.72,12.49,17.1,21.85,27.14,82.4,20.6,17.1,16.24,0.12,,19.8932
48,,49,000536,前海开源可转,08-28,0.859,1.229,1.9,3.87,4.37,14.38,12.88,8.46,10.27,16.36,12.73,22.64,3.89,0.08,,19.4775
34,,35,001127,中银宏观策略,08-28,0.647,0.647,1.25,4.52,4.02,10.03,0.62,-3.58,-1.52,0,2.21,-35.3,-7.61,0.15,,19.3844
24,,25,168205,中融中证银行,08-25,0.936,0.98,2.97,4.93,1.63,11.83,11.16,16.0,45.15,0,17.0,-1.3,10.29,0.0,,19.2651
23,,24,161831,银华恒生国企,08-28,1.0209,1.098,0.12,4.97,2.49,6.59,5.95,17.72,22.71,-3.81,15.86,10.52,11.25,0.12,,19.175500000000003
25,,26,161029,富国中证银行,08-25,1.066,1.106,3.0,4.92,1.52,11.86,10.58,16.51,48.5,0,16.89,11.22,10.93,0.12,,19.1296
30,,31,160717,嘉实恒生中国,08-28,0.8324,0.8324,0.16,4.73,3.05,5.11,7.28,17.8,20.92,5.43,16.0,-16.76,10.67,0.15,,18.956400000000002
41,,42,519013,海富通风格优,08-28,0.777,1.883,1.83,4.3,3.6,10.37,5.43,7.32,10.37,-10.28,8.22,85.89,2.34,0.15,,18.8305
16,,17,160138,南方恒生中国,08-25,1.0655,1.0655,2.21,5.03,2.73,6.33,0.0,0.0,0.0,0,0.0,6.55,1.91,0.12,,18.775199999999998
42,,43,020021,国泰上证18,08-25,1.6992,1.6992,2.74,4.26,2.56,12.27,14.49,19.2,50.36,81.36,19.27,69.92,14.08,0.12,,18.7712
43,,44,160716,嘉实基本面5,08-25,1.4944,1.4944,2.13,4.26,2.19,12.47,16.64,30.61,58.57,127.04,23.16,49.44,25.3,0.12,,18.755499999999998
17,,18,160139,南方恒生中国,08-25,1.0642,1.0642,2.2,5.01,2.68,6.21,0.0,0.0,0.0,0,0.0,6.42,1.8,0.0,,18.6384
36,,37,110031,易方达恒生E,08-28,1.1607,1.1607,0.12,4.42,3.27,4.8,6.77,16.98,20.38,11.04,14.88,16.07,11.1,0.12,,18.2358
44,,45,002860,前海开源沪港,08-28,1.128,1.128,0.09,4.25,3.3,5.52,7.53,0.0,0.0,0,14.29,12.8,8.2,0.15,,17.3844
40,,41,501025,鹏华香港银行,08-28,1.1483,1.1483,-0.14,4.32,2.12,6.92,8.38,0.0,0.0,0,16.93,14.83,10.07,0.12,,16.428
47,,48,163803,中银持续增长,08-28,0.4132,3.5211,0.85,3.95,2.97,9.31,0.32,-5.55,-1.62,51.57,1.0,327.84,-9.06,0.15,,16.3152
27,,28,004597,南方银行ET,08-25,1.0107,1.0107,2.91,4.8,0.97,0.0,0.0,0.0,0.0,0,0.0,1.07,-3.69,0.12,,14.988
28,,29,004598,南方银行ET,08-25,1.01,1.01,2.91,4.79,0.93,0.0,0.0,0.0,0.0,0,0.0,1.0,-3.75,0.0,,14.9112
